transaction_id,customer_id,product_id,quantity,amount,transaction_time,payment_method
T0000025,C01682,P00688,2,4176.32,2025-07-02 22:26:08,信用卡
T0000026,C00463,P01947,2,5635.34,2025-07-16 10:54:06,轉帳
T0000027,C00483,P00497,2,380.2,2025-07-14 14:15:28,轉帳
T0000028,C04237,P00892,4,17605.76,2025-07-09 13:53:08,貨到付款
T0000029,C03018,P00095,4,13842.28,2025-07-28 06:20:53,轉帳
T0000030,C04035,P00916,1,1622.98,2025-07-16 13:27:46,轉帳
T0000031,C03648,P01981,1,964.78,2025-07-24 19:47:10,轉帳
T0000032,C02681,P00526,4,718.88,2025-07-25 14:56:06,信用卡
T0000033,C04865,P01587,2,5900.62,2025-07-06 18:01:32,轉帳
T0000034,C01892,P00418,2,6824.94,2025-07-09 15:32:50,信用卡
T0000035,C02760,P01541,1,314.56,2025-07-21 14:10:00,貨到付款
T0000036,C04147,P01094,4,6122.64,2025-07-19 14:03:27,信用卡
T0000037,C03092,P00643,1,3436.1,2025-07-19 05:38:53,信用卡
T0000038,C04308,P00802,1,963.74,2025-07-14 11:50:54,信用卡
T0000039,C02886,P00697,3,4682.82,2025-07-08 22:38:21,信用卡
T0000040,C03522,P01630,3,5533.74,2025-07-31 05:47:31,貨到付款
T0000041,C00229,P01689,3,11466.84,2025-07-31 04:21:02,行動支付
T0000042,C01139,P01713,2,3467.74,2025-07-23 13:39:52,轉帳
T0000043,C01446,P00667,4,11158.92,2025-07-19 12:58:52,轉帳
T0000044,C00398,P01232,4,1214.32,2025-07-05 21:45:46,信用卡
T0000045,C01163,P01479,4,6651.8,2025-07-14 14:43:51,信用卡
T0000046,C00505,P01672,4,14109.56,2025-07-04 22:48:13,貨到付款
T0000047,C01389,P00455,3,2288.04,2025-07-09 19:52:49,行動支付
T0000048,C03178,P01657,2,5062.5,2025-07-17 21:33:02,轉帳
T0000049,C01824,P00202,2,8610.3,2025-07-10 15:54:59,貨到付款
T0000050,C01850,P01443,3,7773.210000000001,2025-07-03 17:41:09,行動支付
T0000051,C01047,P01278,2,5387.78,2025-07-02 10:38:52,行動支付
T0000052,C01334,P00625,3,2403.27,2025-07-08 14:23:02,轉帳
T0000053,C04683,P00994,4,14395.76,2025-07-28 18:35:11,貨到付款
T0000054,C03240,P00372,3,11230.83,2025-07-26 17:06:15,行動支付
T0000055,C03045,P00765,4,16356.2,2025-07-09 10:23:49,信用卡
T0000056,C00855,P00529,4,14509.84,2025-07-12 10:29:11,信用卡
T0000057,C03645,P01414,1,2024.2,2025-07-20 14:07:45,行動支付
T0000058,C00817,P00701,3,10211.49,2025-07-11 12:01:47,貨到付款
T0000059,C01897,P01611,1,743.53,2025-07-10 17:12:57,貨到付款
T0000060,C04947,P01791,3,2922.63,2025-07-03 15:45:12,信用卡
T0000061,C03199,P01509,3,10344.51,2025-07-21 12:27:56,信用卡
T0000062,C02784,P01918,1,465.06,2025-07-20 08:58:50,轉帳
T0000063,C03423,P00645,1,1715.49,2025-07-03 21:43:41,信用卡
T0000064,C04214,P00222,3,2244.66,2025-07-28 10:37:30,貨到付款
T0000065,C03879,P01163,2,5587.18,2025-07-16 09:41:06,信用卡
T0000066,C01145,P01817,4,15351.96,2025-07-11 01:09:43,轉帳
T0000067,C00160,P01400,1,367.38,2025-07-19 02:43:59,貨到付款
T0000068,C01577,P01120,4,16772.88,2025-07-15 17:24:57,貨到付款
T0000069,C01338,P01513,2,1142.16,2025-07-26 23:51:04,行動支付
T0000070,C01054,P01076,2,5219.44,2025-07-30 14:54:10,貨到付款
T0000071,C04714,P00795,2,2401.6,2025-07-17 08:27:09,貨到付款
T0000072,C04381,P01391,1,209.89,2025-07-22 17:47:03,貨到付款
T0000073,C01573,P00397,2,2786.32,2025-07-24 15:14:52,行動支付
T0000074,C03277,P00181,1,833.9,2025-07-20 03:06:37,信用卡
T0000075,C01978,P01195,2,3984.96,2025-07-18 11:36:57,信用卡
T0000076,C04572,P01753,4,7794.44,2025-07-03 19:28:13,信用卡
T0000077,C02294,P00809,4,4824.84,2025-07-22 14:49:30,信用卡
T0000078,C01324,P00526,3,539.16,2025-07-04 19:22:08,轉帳
T0000079,C01233,P01431,4,7037.28,2025-07-19 12:28:31,信用卡
T0000080,C02806,P01065,3,7454.16,2025-07-01 14:18:22,貨到付款
T0000081,C01313,P00793,4,5812.52,2025-07-28 17:39:53,信用卡
T0000082,C02922,P01842,1,332.21,2025-07-24 06:55:12,行動支付
T0000083,C04489,P00207,4,5009.12,2025-07-02 11:20:03,轉帳
T0000084,C01997,P01912,3,5939.58,2025-07-01 20:11:00,貨到付款
T0000085,C01096,P01629,3,9026.7,2025-07-05 18:24:47,轉帳
T0000086,C04987,P01774,2,3122.44,2025-07-26 12:35:31,轉帳
T0000087,C02547,P00587,1,303.58,2025-07-18 17:56:13,轉帳
T0000088,C00454,P01140,4,15173.0,2025-07-24 22:40:22,信用卡
T0000089,C00235,P00164,2,2140.6,2025-07-29 04:38:20,轉帳
T0000090,C00548,P01998,4,14552.84,2025-07-17 14:48:25,轉帳
T0000091,C03137,P00885,4,16281.12,2025-07-02 11:49:03,信用卡
T0000092,C03960,P00081,2,7106.08,2025-07-09 00:49:46,貨到付款
T0000093,C02110,P01095,2,5513.98,2025-07-26 04:26:43,轉帳
T0000094,C00317,P01335,2,1877.34,2025-07-23 14:22:19,貨到付款
T0000095,C01908,P00547,2,4068.04,2025-07-21 05:45:46,貨到付款
T0000096,C04980,P00988,2,1575.84,2025-07-05 05:27:34,轉帳
T0000097,C02645,P01666,4,9253.68,2025-07-17 07:04:56,貨到付款
T0000098,C04855,P01966,2,2543.46,2025-07-08 20:42:08,行動支付
T0000099,C04303,P00490,1,2760.6,2025-07-15 10:03:55,貨到付款
T0000100,C00057,P00451,3,10897.53,2025-07-25 12:15:15,行動支付
T0000101,C03603,P01295,2,9058.46,2025-07-09 13:06:34,行動支付
T0000102,C03408,P00431,2,7981.88,2025-07-10 10:00:06,信用卡
T0000103,C02684,P00024,4,1649.96,2025-07-08 16:35:10,轉帳
T0000104,C01334,P00487,2,3280.2,2025-07-12 19:11:02,貨到付款
T0000105,C03204,P00041,2,1108.94,2025-07-25 16:12:43,轉帳
T0000106,C00557,P01224,2,8297.72,2025-07-24 05:48:43,行動支付
T0000107,C02173,P01675,4,9908.72,2025-07-13 12:46:49,行動支付
T0000108,C02268,P00829,2,3191.5,2025-07-21 14:26:53,信用卡
T0000109,C04769,P01102,3,11245.710000000001,2025-07-01 11:36:43,轉帳
T0000110,C04379,P01136,4,15046.88,2025-07-22 18:41:44,信用卡
T0000111,C01316,P00824,3,3186.0299999999997,2025-07-16 23:47:24,貨到付款
T0000112,C02502,P01695,4,11473.28,2025-07-20 00:47:32,行動支付
T0000113,C00893,P01161,2,3633.16,2025-07-19 16:41:31,貨到付款
T0000114,C04563,P01254,3,4475.79,2025-07-14 15:02:02,信用卡
T0000115,C04352,P01777,4,15318.0,2025-07-01 13:05:16,行動支付
T0000116,C01492,P01958,1,725.03,2025-07-23 18:49:03,行動支付
T0000117,C03194,P01493,2,4305.6,2025-07-31 15:00:29,貨到付款
T0000118,C03044,P01413,4,12058.24,2025-07-04 14:17:35,行動支付
T0000119,C00764,P01963,1,2006.19,2025-07-12 20:01:50,貨到付款
T0000120,C03812,P01606,4,3688.76,2025-07-21 18:53:38,轉帳
T0000121,C02696,P00527,1,3753.89,2025-07-11 07:13:29,轉帳
T0000122,C03893,P00740,2,1594.84,2025-07-01 16:05:48,信用卡
T0000123,C02651,P01800,3,767.13,2025-07-04 21:37:48,行動支付
T0000124,C00002,P01873,1,3364.4,2025-07-03 17:51:41,貨到付款
T0000125,C01620,P00640,4,13805.48,2025-07-10 13:59:23,信用卡
T0000126,C00097,P00714,2,7930.58,2025-07-14 17:09:39,信用卡
T0000127,C04645,P01916,1,2509.61,2025-07-13 08:24:52,信用卡
T0000128,C04393,P00268,4,5407.28,2025-07-04 17:29:27,貨到付款
T0000129,C04158,P01719,4,17342.72,2025-07-16 05:28:28,行動支付
T0000130,C01537,P01972,4,3351.32,2025-07-24 18:07:44,貨到付款
T0000131,C00289,P00493,1,1090.48,2025-07-25 18:32:26,行動支付
T0000132,C04390,P01076,1,2609.72,2025-07-25 10:27:15,信用卡
T0000133,C04734,P00257,1,3167.65,2025-07-19 08:06:08,行動支付
T0000134,C00428,P01962,3,1803.06,2025-07-24 14:53:24,貨到付款
T0000135,C02429,P01568,1,3396.0,2025-07-30 19:34:14,行動支付
T0000136,C00346,P01014,1,1962.53,2025-07-31 01:23:31,轉帳
T0000137,C03803,P00951,1,2193.93,2025-07-07 14:12:34,轉帳
T0000138,C03829,P00626,3,9365.789999999999,2025-07-28 20:30:47,行動支付
T0000139,C00641,P01614,1,1231.14,2025-07-10 20:02:10,貨到付款
T0000140,C02376,P01208,4,7103.04,2025-07-24 10:43:41,轉帳
T0000141,C02749,P01440,1,2401.01,2025-07-30 18:18:42,行動支付
T0000142,C01325,P01435,4,13915.16,2025-07-13 23:19:19,貨到付款
T0000143,C04362,P01289,4,12775.12,2025-07-26 09:24:11,行動支付
T0000144,C02115,P01108,4,13357.92,2025-07-16 14:46:13,信用卡
T0000145,C01058,P01970,3,10567.11,2025-07-01 12:43:07,轉帳
T0000146,C02696,P00930,3,4001.94,2025-07-03 20:26:49,貨到付款
T0000147,C03649,P01148,3,5465.82,2025-07-04 18:11:40,行動支付
T0000148,C01005,P00106,1,1885.97,2025-07-22 07:11:18,貨到付款
T0000149,C01558,P01237,4,12638.0,2025-07-17 11:38:25,信用卡
T0000150,C04975,P00994,3,10796.82,2025-07-18 19:13:56,行動支付
T0000151,C03249,P00872,3,8170.23,2025-07-30 14:30:01,轉帳
T0000152,C02190,P01906,1,673.15,2025-07-27 06:20:24,行動支付
T0000153,C02587,P00342,3,7352.099999999999,2025-07-18 22:24:37,轉帳
T0000154,C00605,P01119,1,2657.17,2025-07-17 21:59:01,行動支付
T0000155,C01123,P01117,2,799.92,2025-07-07 13:35:49,貨到付款
T0000156,C01690,P00115,3,8182.68,2025-07-31 11:01:17,信用卡
T0000157,C02941,P00695,2,6352.3,2025-07-18 11:43:38,信用卡
T0000158,C01150,P01735,1,2728.68,2025-07-30 17:25:46,行動支付
T0000159,C01101,P00295,4,16088.36,2025-07-08 18:05:48,貨到付款
T0000160,C00354,P01364,3,5674.5599999999995,2025-07-12 13:11:47,貨到付款
T0000161,C03155,P00130,1,1737.53,2025-07-31 10:45:38,行動支付
T0000162,C01144,P01437,4,3681.0,2025-07-04 18:10:30,轉帳
T0000163,C04527,P01139,4,2456.36,2025-07-30 04:21:38,轉帳
T0000164,C04298,P01894,2,4419.08,2025-07-08 12:02:58,信用卡
T0000165,C00354,P01455,1,3816.22,2025-07-09 03:47:59,行動支付
T0000166,C01190,P01427,4,5893.4,2025-07-22 10:06:05,貨到付款
T0000167,C03344,P00981,3,7059.599999999999,2025-07-18 14:08:32,貨到付款
T0000168,C01071,P01408,3,2161.41,2025-07-06 06:07:33,行動支付
T0000169,C00661,P01885,2,7174.24,2025-07-07 01:34:07,行動支付
T0000170,C04677,P01972,4,3351.32,2025-07-15 18:49:25,貨到付款
T0000171,C02855,P00430,1,2725.49,2025-07-21 04:52:30,行動支付
T0000172,C02363,P00904,3,3542.04,2025-07-11 18:33:39,行動支付
T0000173,C03923,P01076,4,10438.88,2025-07-24 20:46:33,貨到付款
T0000174,C04037,P01349,4,17217.96,2025-07-21 11:36:30,信用卡
T0000175,C00952,P00661,2,3637.82,2025-07-29 12:39:28,貨到付款
T0000176,C00484,P01139,3,1842.27,2025-07-20 14:20:10,轉帳
T0000177,C02155,P01751,3,7568.01,2025-07-30 21:06:31,行動支付
T0000178,C02117,P01892,1,3637.19,2025-07-04 08:34:54,轉帳
T0000179,C02335,P00288,3,10426.47,2025-07-14 20:26:22,轉帳
T0000180,C03645,P01079,1,2792.42,2025-07-17 19:35:39,行動支付
T0000181,C03366,P01362,3,6637.26,2025-07-18 18:57:00,轉帳
T0000182,C04920,P00628,2,4353.5,2025-07-14 05:13:40,貨到付款
T0000183,C00492,P00013,3,5798.88,2025-07-26 16:55:45,信用卡
T0000184,C02013,P01219,1,3344.71,2025-07-11 14:15:06,信用卡
T0000185,C01696,P01424,1,2248.48,2025-07-14 11:06:10,信用卡
T0000186,C04308,P00716,2,894.16,2025-07-20 11:23:53,貨到付款
T0000187,C01243,P00239,3,9921.960000000001,2025-07-12 10:11:47,轉帳
T0000188,C00951,P01954,3,9965.31,2025-07-28 19:06:26,轉帳
T0000189,C02243,P01227,2,1179.22,2025-07-20 07:26:13,轉帳
T0000190,C02109,P01059,3,10270.86,2025-07-16 21:32:04,行動支付
T0000191,C01392,P01460,3,6399.539999999999,2025-07-03 16:57:13,轉帳
T0000192,C01249,P01465,1,1857.91,2025-07-17 20:45:37,行動支付
T0000193,C04616,P00497,3,570.3,2025-07-21 16:37:03,貨到付款
T0000194,C02215,P01203,3,1601.6100000000001,2025-07-13 12:10:44,信用卡
T0000195,C04306,P01517,2,2239.16,2025-07-02 08:13:41,行動支付
T0000196,C02751,P00358,2,6745.06,2025-07-27 00:04:27,信用卡
T0000197,C00252,P00362,4,3874.24,2025-07-16 13:50:43,信用卡
T0000198,C04996,P01298,1,1763.33,2025-07-23 10:24:14,轉帳
T0000199,C04180,P00989,3,640.86,2025-07-26 23:12:26,信用卡
T0000200,C04844,P00239,3,9921.960000000001,2025-07-30 09:53:15,行動支付
T0000201,C04631,P00178,4,3035.4,2025-07-03 15:55:33,信用卡
T0000202,C04243,P01892,3,10911.57,2025-07-11 12:02:48,貨到付款
T0000203,C00831,P01148,1,1821.94,2025-07-28 03:44:38,貨到付款
T0000204,C02428,P01898,4,4947.88,2025-07-27 01:30:43,轉帳
T0000205,C01068,P00774,1,2067.03,2025-07-06 14:47:18,信用卡
T0000206,C02005,P00815,4,2601.52,2025-07-12 12:21:32,轉帳
T0000207,C00293,P01392,4,12354.92,2025-07-08 13:26:57,貨到付款
T0000208,C01894,P00277,2,3039.38,2025-07-31 20:15:43,貨到付款
T0000209,C04926,P00686,1,1500.2,2025-07-20 22:35:48,行動支付
T0000210,C01326,P00191,3,7787.1900000000005,2025-07-27 02:30:54,行動支付
T0000211,C03920,P00710,3,1576.38,2025-07-09 23:13:38,行動支付
T0000212,C02275,P01414,1,2024.2,2025-07-21 10:58:20,轉帳
T0000213,C02115,P01758,3,10048.619999999999,2025-07-25 22:21:06,貨到付款
T0000214,C04786,P00999,3,8803.8,2025-07-15 20:04:53,信用卡
T0000215,C04977,P00369,1,3035.44,2025-07-20 16:11:20,轉帳
T0000216,C02778,P00802,4,3854.96,2025-07-18 21:04:40,信用卡
T0000217,C03592,P00453,1,1352.91,2025-07-24 20:57:53,轉帳
T0000218,C00773,P01971,4,12164.76,2025-07-09 20:55:26,信用卡
T0000219,C01483,P01266,3,2411.2799999999997,2025-07-29 10:59:06,信用卡
T0000220,C04843,P00679,3,5928.450000000001,2025-07-27 16:11:45,行動支付
T0000221,C02895,P01503,3,2058.2400000000002,2025-07-07 14:02:07,信用卡
T0000222,C02710,P01047,2,336.58,2025-07-23 16:14:36,貨到付款
T0000223,C03739,P00040,4,11371.4,2025-07-20 06:16:06,信用卡
T0000224,C00285,P01212,2,2018.38,2025-07-27 04:49:35,信用卡
T0000225,C02920,P01964,2,4989.86,2025-07-09 12:06:20,貨到付款
T0000226,C02514,P00118,1,1039.15,2025-07-13 05:03:38,行動支付
T0000227,C04263,P00746,2,5055.44,2025-07-08 00:49:51,轉帳
T0000228,C00787,P00337,1,846.8,2025-07-16 17:33:42,轉帳
T0000229,C04803,P01927,1,4114.02,2025-07-24 13:39:02,信用卡
T0000230,C00400,P01058,2,6807.48,2025-07-21 16:44:42,行動支付
T0000231,C00929,P00009,4,3807.12,2025-07-10 13:50:37,轉帳
T0000232,C02975,P00769,4,5074.36,2025-07-18 15:40:17,轉帳
T0000233,C03376,P00055,4,8044.04,2025-07-30 19:35:47,貨到付款
T0000234,C01176,P01810,4,3475.76,2025-07-20 14:11:44,行動支付
T0000235,C00599,P01126,4,1431.88,2025-07-04 15:40:49,轉帳
T0000236,C04451,P01718,2,3247.2,2025-07-29 10:41:48,貨到付款
T0000237,C01231,P01911,2,3936.72,2025-07-30 07:25:32,貨到付款
T0000238,C02972,P00376,3,8316.06,2025-07-03 05:13:13,轉帳
T0000239,C03096,P01241,4,15860.24,2025-07-31 17:12:59,轉帳
T0000240,C02096,P00363,2,3907.36,2025-07-14 14:30:44,信用卡
T0000241,C02918,P00436,3,6845.3099999999995,2025-07-05 02:42:14,貨到付款
T0000242,C02613,P00690,4,12820.52,2025-07-23 12:00:45,行動支付
T0000243,C04673,P01744,1,1816.71,2025-07-30 10:08:41,行動支付
T0000244,C01021,P01825,3,11577.599999999999,2025-07-06 15:47:54,信用卡
T0000245,C03580,P01199,2,7991.26,2025-07-31 12:44:39,行動支付
T0000246,C01193,P01147,1,940.81,2025-07-17 21:53:46,信用卡
T0000247,C01978,P01782,1,3852.28,2025-07-08 20:03:26,貨到付款
T0000248,C03358,P01412,1,1195.3,2025-07-22 21:11:46,行動支付
T0000249,C01499,P01759,3,2690.0099999999998,2025-07-08 14:19:57,轉帳
T0000250,C01580,P00354,2,6911.48,2025-07-01 07:34:06,行動支付
T0000251,C03759,P00297,1,437.41,2025-07-21 20:18:17,行動支付
T0000252,C00362,P01637,4,8890.32,2025-07-06 07:35:55,信用卡
T0000253,C02291,P00060,1,1782.16,2025-07-28 12:42:42,轉帳
T0000254,C04992,P00077,1,2340.97,2025-07-01 10:17:15,行動支付
T0000255,C04980,P01075,3,2641.95,2025-07-26 20:23:00,轉帳
T0000256,C00366,P01916,3,7528.83,2025-07-23 17:28:26,貨到付款
T0000257,C01065,P01881,2,3938.66,2025-07-12 16:05:07,行動支付
T0000258,C01326,P01614,4,4924.56,2025-07-22 19:27:42,轉帳
T0000259,C04666,P00623,3,7524.99,2025-07-03 22:26:17,轉帳
T0000260,C04404,P00582,1,3430.62,2025-07-01 17:36:18,貨到付款
T0000261,C04396,P00698,2,6646.06,2025-07-04 12:22:12,信用卡
T0000262,C01847,P00360,1,377.54,2025-07-20 12:45:04,信用卡
T0000263,C00788,P01036,1,1016.4,2025-07-29 10:02:20,轉帳
T0000264,C04168,P01800,3,767.13,2025-07-10 20:08:19,行動支付
T0000265,C03517,P00995,2,4874.12,2025-07-27 07:05:43,轉帳
T0000266,C03058,P01207,4,7296.52,2025-07-21 17:32:58,信用卡
T0000267,C04936,P01994,4,1966.32,2025-07-27 04:55:04,行動支付
T0000268,C03269,P01839,3,11804.19,2025-07-22 21:49:04,貨到付款
T0000269,C00039,P01875,3,5987.9400000000005,2025-07-01 17:20:24,轉帳
T0000270,C04085,P01857,2,2072.8,2025-07-11 17:11:47,行動支付
T0000271,C01496,P01095,4,11027.96,2025-07-19 14:11:02,貨到付款
T0000272,C03316,P00777,4,7036.36,2025-07-21 22:15:30,轉帳
T0000273,C04694,P00895,4,13205.4,2025-07-13 17:27:37,信用卡
T0000274,C00671,P00232,1,2531.43,2025-07-22 22:27:38,貨到付款
T0000275,C00577,P01108,4,13357.92,2025-07-06 18:36:22,信用卡
T0000276,C00535,P00676,1,2359.03,2025-07-08 11:24:05,轉帳
T0000277,C02766,P00731,2,2118.3,2025-07-19 06:53:04,貨到付款
T0000278,C01361,P00478,1,2320.92,2025-07-21 20:50:48,行動支付
T0000279,C03024,P01635,2,472.1,2025-07-07 17:01:53,貨到付款
T0000280,C03588,P00376,4,11088.08,2025-07-20 19:50:50,行動支付
T0000281,C01017,P00808,4,4928.72,2025-07-10 09:41:40,轉帳
T0000282,C03171,P00716,2,894.16,2025-07-28 10:00:24,行動支付
T0000283,C01319,P01833,3,12511.41,2025-07-14 18:32:47,貨到付款
T0000284,C02442,P01842,2,664.42,2025-07-07 12:12:12,貨到付款
T0000285,C04526,P01621,3,6186.780000000001,2025-07-26 07:33:34,信用卡
T0000286,C04230,P01819,1,2268.07,2025-07-20 05:15:16,行動支付
T0000287,C00461,P01415,1,1982.83,2025-07-07 15:06:47,貨到付款
T0000288,C02117,P01678,1,380.73,2025-07-17 13:57:39,行動支付
T0000289,C01383,P00197,4,13058.88,2025-07-09 19:32:27,轉帳
T0000290,C00017,P01039,1,2523.64,2025-07-25 20:51:18,信用卡
T0000291,C03855,P01327,3,8385.48,2025-07-06 06:46:35,信用卡
T0000292,C03185,P00641,1,3217.96,2025-07-06 09:39:08,行動支付
T0000293,C01309,P01054,2,4224.84,2025-07-18 13:01:28,行動支付
T0000294,C03706,P01150,2,6474.42,2025-07-09 11:52:53,信用卡
T0000295,C02758,P01063,4,12498.68,2025-07-01 16:22:10,貨到付款
T0000296,C02138,P00788,2,6162.28,2025-07-25 20:40:57,貨到付款
T0000297,C00048,P01092,3,8575.11,2025-07-30 15:39:23,行動支付
T0000298,C00376,P00401,1,4127.04,2025-07-20 06:58:30,轉帳
T0000299,C04415,P00640,4,13805.48,2025-07-27 15:00:15,轉帳
T0000300,C04519,P00895,1,3301.35,2025-07-19 10:57:38,行動支付
T0000301,C02727,P00396,1,2153.44,2025-07-28 22:18:20,信用卡
T0000302,C04172,P01888,3,3695.76,2025-07-07 12:06:53,信用卡
T0000303,C02912,P00852,2,6437.68,2025-07-28 15:21:02,信用卡
T0000304,C00740,P00870,2,4767.3,2025-07-09 14:51:35,貨到付款
T0000305,C00637,P00164,1,1070.3,2025-07-17 11:02:48,行動支付
T0000306,C01541,P00047,4,7304.68,2025-07-19 19:21:17,轉帳
T0000307,C04494,P00208,2,3215.78,2025-07-05 13:29:13,貨到付款
T0000308,C03980,P01122,4,9393.12,2025-07-30 12:18:47,信用卡
T0000309,C04303,P01219,2,6689.42,2025-07-24 17:25:42,信用卡
T0000310,C04494,P00611,4,14265.4,2025-07-13 12:27:27,信用卡
T0000311,C01050,P01984,3,6192.39,2025-07-15 16:39:37,轉帳
T0000312,C01247,P01541,4,1258.24,2025-07-09 14:26:44,信用卡
T0000313,C00513,P01541,3,943.6800000000001,2025-07-04 14:54:54,行動支付
T0000314,C03900,P01397,3,10969.380000000001,2025-07-21 01:55:55,信用卡
T0000315,C04420,P01055,4,2575.76,2025-07-28 14:03:05,貨到付款
T0000316,C02031,P00083,3,2975.19,2025-07-28 11:28:58,貨到付款
T0000317,C03103,P01893,1,1991.28,2025-07-03 06:48:13,行動支付
T0000318,C00772,P00614,3,1362.72,2025-07-26 12:50:45,轉帳
T0000319,C04649,P01174,2,882.84,2025-07-30 22:06:21,行動支付
T0000320,C04323,P01800,4,1022.84,2025-07-13 11:22:26,信用卡
T0000321,C04881,P01085,1,139.54,2025-07-14 19:00:41,行動支付
T0000322,C04053,P01281,4,1356.92,2025-07-11 05:46:32,貨到付款
T0000323,C04407,P01478,2,6730.58,2025-07-14 22:43:06,信用卡
T0000324,C00123,P01068,2,1215.32,2025-07-13 11:18:16,轉帳
T0000325,C03682,P00094,2,1840.1,2025-07-19 21:43:11,貨到付款
T0000326,C01660,P00605,3,1617.0,2025-07-07 12:13:23,貨到付款
T0000327,C04654,P00376,3,8316.06,2025-07-20 21:27:36,行動支付
T0000328,C04011,P01928,4,14124.16,2025-07-17 12:56:59,信用卡
T0000329,C04320,P00104,4,2594.72,2025-07-09 12:58:01,貨到付款
T0000330,C04053,P01650,1,350.35,2025-07-21 13:26:26,行動支付
T0000331,C01334,P01747,1,2900.22,2025-07-28 18:50:14,轉帳
T0000332,C03936,P01477,4,598.24,2025-07-16 13:02:08,轉帳
T0000333,C00540,P01047,3,504.87,2025-07-27 17:57:16,信用卡
T0000334,C04360,P00356,2,4235.66,2025-07-29 10:35:27,行動支付
T0000335,C04292,P00741,4,2107.92,2025-07-03 15:44:34,信用卡
T0000336,C01112,P01398,1,2845.66,2025-07-19 04:21:51,貨到付款
T0000337,C04082,P01821,3,5240.67,2025-07-15 09:02:54,轉帳
T0000338,C02301,P00197,4,13058.88,2025-07-05 07:55:43,行動支付
T0000339,C01525,P01899,4,12605.72,2025-07-28 11:20:55,行動支付
T0000340,C03976,P01784,3,11855.22,2025-07-23 23:27:47,轉帳
T0000341,C01137,P01424,4,8993.92,2025-07-06 18:55:53,貨到付款
T0000342,C00118,P00145,3,1955.31,2025-07-10 15:50:04,貨到付款
T0000343,C00965,P00407,2,2496.28,2025-07-21 14:48:15,信用卡
T0000344,C01641,P00413,3,4977.4800000000005,2025-07-17 17:36:15,行動支付
T0000345,C04321,P01280,3,6985.89,2025-07-25 19:55:35,貨到付款
T0000346,C04834,P00031,3,4762.47,2025-07-28 03:24:12,轉帳
T0000347,C01395,P01844,4,12016.16,2025-07-11 15:14:01,行動支付
T0000348,C03207,P00412,4,13537.36,2025-07-24 20:01:49,行動支付
T0000349,C01998,P01378,3,8230.83,2025-07-03 20:09:28,轉帳
T0000350,C04905,P01848,4,2307.52,2025-07-18 16:38:21,行動支付
T0000351,C02681,P00009,1,951.78,2025-07-03 22:39:41,轉帳
T0000352,C04696,P00480,1,2104.52,2025-07-07 00:18:41,信用卡
T0000353,C00576,P01627,4,8292.32,2025-07-30 15:23:09,行動支付
T0000354,C04852,P01662,4,11979.48,2025-07-30 21:45:31,行動支付
T0000355,C00892,P01968,3,5749.4400000000005,2025-07-15 13:24:48,行動支付
T0000356,C04812,P01974,2,4264.24,2025-07-16 03:13:24,信用卡
T0000357,C01327,P01653,4,12342.6,2025-07-11 14:03:12,行動支付
T0000358,C00542,P00743,1,3084.41,2025-07-24 14:16:19,貨到付款
T0000359,C02172,P01675,3,7431.539999999999,2025-07-22 12:40:38,轉帳
T0000360,C03642,P00089,4,750.24,2025-07-09 14:49:38,轉帳
T0000361,C01568,P00283,1,2813.84,2025-07-13 17:45:15,貨到付款
