product_id,product_name,category,brand,list_price,sale_price,weight_dimensions,employee_id,create_date,modify_date
P00025,Product_25,服飾,Brand_E,3990,2808,36x92x42cm,EMP0002,2025-01-19,
P00026,Product_26,美妝,Brand_C,2484,2037,72x21x95cm,EMP0000,2024-08-01,
P00027,Product_27,服飾,Brand_H,1737,1361,17x73x39cm,EMP0006,2025-02-22,
P00028,Product_28,家居,Brand_J,623,506,4989g,EMP0000,2024-09-03,
P00029,Product_29,3C,Brand_I,1270,1070,46x57x82cm,EMP0000,2024-08-30,
P00030,Product_30,美妝,Brand_C,4751,3843,23x80x59cm,EMP0003,2024-12-11,
P00031,Product_31,圖書,Brand_H,1595,1282,4901g,EMP0003,2025-06-18,
P00032,Product_32,圖書,Brand_A,927,819,1472g,EMP0006,2024-07-30,
P00033,Product_33,家居,Brand_F,2357,2054,2646g,EMP0005,2024-07-23,
P00034,Product_34,圖書,Brand_F,1605,1458,1695g,EMP0005,2024-09-17,
P00035,Product_35,食品,Brand_G,272,208,81x52x59cm,EMP0006,2024-09-13,
P00036,Product_36,美妝,Brand_H,1683,1435,24x12x84cm,EMP0008,2025-01-08,
P00037,Product_37,家居,Brand_A,2766,2341,4196g,EMP0007,2025-06-04,
P00038,Product_38,食品,Brand_F,2803,2222,35x94x36cm,EMP0007,2024-12-16,
P00039,Product_39,3C,Brand_I,1847,1517,318g,EMP0009,2024-12-04,
P00040,Product_40,家居,Brand_D,2292,1784,84x30x22cm,EMP0008,2024-08-03,
P00041,Product_41,圖書,Brand_D,4831,3553,92x43x65cm,EMP0004,2024-12-04,
P00042,Product_42,食品,Brand_D,1949,1468,2563g,EMP0007,2025-02-18,
P00043,Product_43,食品,Brand_H,1365,992,593g,EMP0004,2025-05-26,
P00044,Product_44,食品,Brand_I,1293,1126,59x29x60cm,EMP0003,2025-06-05,2025-07-10
P00045,Product_45,食品,Brand_G,2343,2027,1498g,EMP0002,2024-12-03,
P00046,Product_46,3C,Brand_E,3822,3583,89x79x57cm,EMP0000,2025-05-09,
P00047,Product_47,食品,Brand_A,1109,979,4718g,EMP0007,2025-04-23,
P00048,Product_48,食品,Brand_D,3576,2549,86x84x95cm,EMP0008,2025-02-18,2025-07-10
P00049,Product_49,食品,Brand_H,204,188,29x76x46cm,EMP0000,2024-09-10,
P00050,Product_50,3C,Brand_I,2153,1971,4378g,EMP0001,2024-08-03,
P00051,Product_51,家居,Brand_G,3902,3164,28x44x66cm,EMP0004,2025-05-13,
P00052,Product_52,美妝,Brand_I,1760,1490,100x68x67cm,EMP0008,2024-11-22,
P00053,Product_53,美妝,Brand_F,2862,2702,20x28x76cm,EMP0000,2025-06-27,
P00054,Product_54,食品,Brand_A,1104,920,2633g,EMP0005,2024-12-18,
P00055,Product_55,美妝,Brand_J,3736,3461,30x44x65cm,EMP0009,2024-11-22,
P00056,Product_56,家居,Brand_D,356,257,86x98x69cm,EMP0008,2025-02-07,
P00057,Product_57,美妝,Brand_I,4277,3199,2568g,EMP0002,2024-07-13,
P00058,Product_58,服飾,Brand_G,1071,868,4236g,EMP0002,2024-10-02,2025-07-06
P00059,Product_59,美妝,Brand_F,4385,3710,20x59x40cm,EMP0007,2024-07-08,
P00060,Product_60,3C,Brand_D,1827,1652,4086g,EMP0001,2025-06-23,
P00061,Product_61,圖書,Brand_G,3641,3448,2842g,EMP0001,2024-07-12,2025-07-07
P00062,Product_62,3C,Brand_A,1664,1327,69x26x81cm,EMP0002,2024-09-24,
P00063,Product_63,圖書,Brand_H,4539,3231,4105g,EMP0006,2025-04-11,
P00064,Product_64,食品,Brand_F,721,649,2973g,EMP0001,2025-04-30,
P00065,Product_65,食品,Brand_G,975,830,2183g,EMP0000,2025-07-01,
P00066,Product_66,家居,Brand_I,2516,1886,23x18x81cm,EMP0008,2024-09-10,
P00067,Product_67,美妝,Brand_I,502,413,36x17x61cm,EMP0000,2025-01-06,
P00068,Product_68,3C,Brand_J,1060,939,41x14x92cm,EMP0002,2024-11-20,
P00069,Product_69,家居,Brand_J,4724,4217,89x16x36cm,EMP0002,2024-12-02,
P00070,Product_70,3C,Brand_E,4885,4029,47x25x51cm,EMP0003,2024-09-06,
P00071,Product_71,服飾,Brand_I,1944,1509,58x43x64cm,EMP0000,2024-08-30,
P00072,Product_72,服飾,Brand_J,4624,4363,1896g,EMP0006,2024-10-19,2025-07-22
P00073,Product_73,美妝,Brand_D,2770,2398,4900g,EMP0005,2024-10-21,2025-01-17
P00074,Product_74,美妝,Brand_J,1422,1140,59x60x39cm,EMP0006,2024-08-24,
P00075,Product_75,服飾,Brand_B,3542,2728,3592g,EMP0002,2025-06-22,
P00076,Product_76,食品,Brand_J,3329,2938,89x68x57cm,EMP0003,2024-12-07,
P00077,Product_77,3C,Brand_E,4947,3762,46x10x39cm,EMP0005,2025-04-19,
P00078,Product_78,圖書,Brand_I,1399,1039,4571g,EMP0001,2025-02-11,2025-06-19
P00079,Product_79,家居,Brand_G,3393,2825,3760g,EMP0000,2025-04-08,
P00080,Product_80,食品,Brand_C,355,274,63x59x80cm,EMP0006,2024-11-11,
P00081,Product_81,圖書,Brand_A,657,563,1584g,EMP0001,2024-07-07,
P00082,Product_82,3C,Brand_F,119,87,19x52x27cm,EMP0007,2025-05-19,2025-06-01
P00083,Product_83,3C,Brand_D,4997,4316,78x57x100cm,EMP0006,2025-06-19,
P00084,Product_84,美妝,Brand_G,4031,3107,51x51x14cm,EMP0006,2025-01-17,
P00085,Product_85,3C,Brand_E,3955,2769,1944g,EMP0003,2024-11-22,
P00086,Product_86,食品,Brand_J,2598,1901,4618g,EMP0003,2024-10-31,
P00087,Product_87,家居,Brand_C,1570,1466,2028g,EMP0007,2025-06-05,
P00088,Product_88,美妝,Brand_F,841,771,2513g,EMP0007,2025-01-05,
P00089,Product_89,家居,Brand_D,1495,1134,3512g,EMP0001,2024-07-28,
P00090,Product_90,圖書,Brand_E,1942,1738,75x95x95cm,EMP0004,2025-01-09,
P00091,Product_91,美妝,Brand_D,3806,-75,4823g,EMP0005,2024-09-01,
P00092,Product_92,3C,Brand_G,2744,2587,18x42x80cm,EMP0005,2024-08-01,
P00093,Product_93,服飾,Brand_D,480,381,1696g,EMP0001,2025-01-31,
P00094,Product_94,圖書,Brand_E,188,164,166g,EMP0005,2024-09-22,
P00095,Product_95,圖書,Brand_C,601,-77,42x56x75cm,EMP0005,2024-12-24,
P00096,Product_96,食品,Brand_C,2111,1687,55x63x90cm,EMP0006,2024-10-29,
P00097,Product_97,服飾,Brand_F,4673,4397,4931g,EMP0008,2025-04-27,
P00098,Product_98,美妝,Brand_H,3223,2691,1026g,EMP0002,2025-01-19,
P00099,Product_99,食品,Brand_G,4029,3110,84x78x40cm,EMP0002,2025-01-27,
P00100,Product_100,服飾,Brand_A,2385,1741,96x11x74cm,EMP0004,2024-07-22,
P00101,Product_101,食品,Brand_F,1872,1640,2092g,EMP0009,2024-11-24,
P00102,Product_102,服飾,Brand_E,631,544,51x62x41cm,EMP0007,2024-10-16,
P00103,Product_103,美妝,Brand_I,4392,3485,3705g,EMP0000,2024-10-19,
P00104,Product_104,美妝,Brand_E,3937,3692,66x82x96cm,EMP0001,2024-08-30,
P00105,Product_105,美妝,Brand_H,924,652,4022g,EMP0007,2025-02-28,2025-05-16
P00106,Product_106,食品,Brand_F,2610,2025,78x38x48cm,EMP0008,2025-04-10,2025-05-26
P00107,Product_107,3C,Brand_D,2488,2315,90x94x96cm,EMP0007,2025-06-22,
P00108,Product_108,服飾,Brand_F,3163,2468,94x63x34cm,EMP0009,2024-11-23,
P00109,Product_109,美妝,Brand_A,4736,3614,2446g,EMP0002,2025-06-10,
P00110,Product_110,服飾,Brand_D,2941,2451,2823g,EMP0007,2024-11-24,
P00111,Product_111,圖書,Brand_B,2747,2489,114g,EMP0006,2025-04-20,
P00112,Product_112,食品,Brand_A,347,252,1867g,EMP0000,2024-09-03,
P00113,Product_113,服飾,Brand_I,408,382,1635g,EMP0003,2025-05-16,
P00114,Product_114,食品,Brand_B,1018,915,51x12x36cm,EMP0000,2024-12-09,
P00115,Product_115,家居,Brand_E,259,193,23x67x96cm,EMP0003,2025-06-28,
P00116,Product_116,服飾,Brand_J,3742,3286,75x86x96cm,EMP0005,2024-11-21,
P00117,Product_117,食品,Brand_D,3644,2902,2930g,EMP0001,2025-04-22,
P00118,Product_118,家居,Brand_D,767,614,80x66x70cm,EMP0007,2025-03-02,
P00119,Product_119,美妝,Brand_E,4197,3760,2926g,EMP0002,2025-01-30,
P00120,Product_120,3C,Brand_A,858,808,27x17x32cm,EMP0007,2025-02-10,
P00121,Product_121,食品,Brand_B,1576,1153,1930g,EMP0005,2024-10-26,
P00122,Product_122,家居,Brand_F,1320,1063,51x75x17cm,EMP0003,2025-02-13,
P00123,Product_123,美妝,Brand_B,1924,1578,927g,EMP0002,2025-06-03,
P00124,Product_124,食品,Brand_F,1348,1070,87x58x60cm,EMP0008,2025-06-11,
P00125,Product_125,食品,Brand_D,2496,1974,10x37x49cm,EMP0002,2024-08-19,
P00126,Product_126,服飾,Brand_A,2096,1495,3540g,EMP0005,2025-03-09,
P00127,Product_127,3C,Brand_G,4934,4300,47x48x64cm,EMP0008,2025-03-12,
P00128,Product_128,食品,Brand_H,374,303,45x68x55cm,EMP0008,2025-02-22,
P00129,Product_129,圖書,Brand_B,797,596,1574g,EMP0004,2025-01-19,2025-06-09
P00130,Product_130,食品,Brand_C,359,324,4565g,EMP0002,2024-11-25,
P00131,Product_131,家居,Brand_I,3167,2852,98x88x75cm,EMP0001,2024-08-25,
P00132,Product_132,服飾,Brand_E,367,302,36x40x28cm,EMP0009,2024-07-26,
P00133,Product_133,食品,Brand_H,4199,3252,96x24x61cm,EMP0007,2024-10-08,
P00134,Product_134,3C,Brand_A,2608,-68,43x31x51cm,EMP0002,2024-12-02,
P00135,Product_135,美妝,Brand_C,2682,2071,3111g,EMP0000,2024-09-08,
P00136,Product_136,美妝,Brand_B,2852,2165,909g,EMP0007,2025-01-22,
P00137,Product_137,服飾,Brand_J,937,827,14x88x90cm,EMP0001,2025-07-11,
P00138,Product_138,美妝,Brand_F,1069,759,2345g,EMP0001,2024-10-25,
P00139,Product_139,3C,Brand_D,1662,1203,1081g,EMP0001,2025-03-12,
P00140,Product_140,美妝,Brand_A,3008,2111,76x52x56cm,EMP0000,2025-01-17,
P00141,Product_141,3C,Brand_B,1130,834,94x31x63cm,EMP0008,2024-11-22,
P00142,Product_142,3C,Brand_G,670,481,63x90x55cm,EMP0002,2024-11-02,2025-03-10
P00143,Product_143,服飾,Brand_E,4854,4606,100x16x31cm,EMP0001,2025-07-08,
P00144,Product_144,3C,Brand_I,208,160,92x65x93cm,EMP0000,2025-01-01,2025-05-08
P00145,Product_145,圖書,Brand_C,4033,2974,34x25x14cm,EMP0008,2025-06-19,
P00146,Product_146,美妝,Brand_D,3961,3012,3762g,EMP0004,2024-09-23,
P00147,Product_147,服飾,Brand_F,1556,1454,156g,EMP0005,2024-07-08,
P00148,Product_148,服飾,Brand_G,765,635,3589g,EMP0001,2025-03-21,
P00149,Product_149,服飾,Brand_A,814,644,1590g,EMP0001,2025-02-16,2025-04-27
P00150,Product_150,圖書,Brand_C,3517,3230,3778g,EMP0007,2024-09-12,
P00151,Product_151,食品,Brand_D,3250,2596,184g,EMP0005,2025-01-28,
P00152,Product_152,食品,Brand_E,3935,3084,20x49x10cm,EMP0009,2025-06-10,
P00153,Product_153,食品,Brand_D,4694,3529,26x64x73cm,EMP0001,2024-09-07,2025-02-15
P00154,Product_154,家居,Brand_G,3490,2773,65x58x70cm,EMP0004,2025-04-04,
P00155,Product_155,3C,Brand_G,864,673,47x62x46cm,EMP0007,2024-09-15,2025-03-02
P00156,Product_156,家居,Brand_C,1293,1124,21x53x79cm,EMP0003,2024-09-22,
P00157,Product_157,服飾,Brand_E,4227,3265,60x62x12cm,EMP0004,2025-04-14,
P00158,Product_158,家居,Brand_E,1126,950,76x95x84cm,EMP0006,2024-10-31,
P00159,Product_159,食品,Brand_B,455,326,3489g,EMP0006,2025-04-14,
P00160,Product_160,家居,Brand_F,3546,2652,58x46x63cm,EMP0002,2025-06-21,
P00161,Product_161,服飾,Brand_C,2072,1662,84x74x71cm,EMP0006,2025-06-27,
P00162,Product_162,服飾,Brand_F,4608,4305,509g,EMP0000,2024-09-13,
P00163,Product_163,食品,Brand_E,3286,2610,4275g,EMP0001,2025-02-22,
P00164,Product_164,3C,Brand_B,543,470,3805g,EMP0002,2024-11-23,
P00165,Product_165,家居,Brand_E,4744,3624,62x30x34cm,EMP0006,2025-01-27,
P00166,Product_166,美妝,Brand_D,1367,1000,754g,EMP0009,2025-01-06,
P00167,Product_167,服飾,Brand_C,1752,1252,3701g,EMP0002,2025-01-29,
P00168,Product_168,食品,Brand_D,2071,1608,1876g,EMP0004,2025-01-08,
P00169,Product_169,服飾,Brand_A,351,260,82x62x98cm,EMP0007,2024-08-07,2025-07-28
P00170,Product_170,3C,Brand_E,2533,1883,70x99x23cm,EMP0004,2025-04-20,
P00171,Product_171,美妝,Brand_I,704,627,2580g,EMP0005,2025-04-20,
P00172,Product_172,美妝,Brand_J,2065,1454,44x54x46cm,EMP0007,2025-05-17,
P00173,Product_173,3C,Brand_B,1818,1527,2451g,EMP0002,2025-04-09,
P00174,Product_174,美妝,Brand_G,3887,3090,14x98x98cm,EMP0008,2025-06-10,
P00175,Product_175,食品,Brand_J,4036,3336,978g,EMP0008,2024-09-30,
P00176,Product_176,圖書,Brand_J,852,716,14x16x13cm,EMP0001,2024-07-31,
P00177,Product_177,3C,Brand_I,1896,1476,4801g,EMP0002,2024-12-01,
P00178,Product_178,圖書,Brand_H,1929,1493,61x10x48cm,EMP0001,2024-07-09,
P00179,Product_179,家居,Brand_D,842,744,3090g,EMP0007,2025-05-12,
P00180,Product_180,圖書,Brand_A,4012,3683,3852g,EMP0007,2024-08-25,2024-12-09
P00181,Product_181,美妝,Brand_I,3565,2667,54x43x84cm,EMP0006,2024-11-05,2024-11-24
P00182,Product_182,3C,Brand_A,1033,748,4468g,EMP0007,2025-03-07,
P00183,Product_183,服飾,Brand_F,1897,1754,3168g,EMP0004,2025-04-02,
P00184,Product_184,美妝,Brand_G,618,487,89x73x63cm,EMP0000,2024-07-09,2025-01-24
P00185,Product_185,圖書,Brand_A,3178,2663,62x14x24cm,EMP0004,2025-01-17,
P00186,Product_186,圖書,Brand_D,695,549,1760g,EMP0002,2024-09-16,
P00187,Product_187,圖書,Brand_A,4931,3607,3641g,EMP0007,2024-12-27,2025-06-10
P00188,Product_188,服飾,Brand_J,3925,3326,66x28x30cm,EMP0000,2025-04-24,
P00189,Product_189,食品,Brand_H,2012,1673,2353g,EMP0009,2024-07-08,
P00190,Product_190,服飾,Brand_E,2935,2203,69x86x24cm,EMP0008,2024-08-10,
P00191,Product_191,美妝,Brand_G,4566,3712,4915g,EMP0000,2024-10-30,
P00192,Product_192,3C,Brand_J,2815,2531,3862g,EMP0001,2024-09-08,
P00193,Product_193,服飾,Brand_E,955,810,51x38x71cm,EMP0008,2025-05-04,
P00194,Product_194,家居,Brand_A,1956,1416,4015g,EMP0003,2024-07-25,
P00195,Product_195,家居,Brand_A,4231,3542,3997g,EMP0003,2024-10-30,2025-06-07
P00196,Product_196,圖書,Brand_F,3257,2852,96x62x57cm,EMP0006,2025-01-08,
P00197,Product_197,美妝,Brand_F,3289,2954,630g,EMP0004,2025-04-10,
P00198,Product_198,家居,Brand_H,4347,3727,4718g,EMP0006,2024-08-25,
P00199,Product_199,服飾,Brand_F,4480,3307,619g,EMP0003,2024-09-15,
P00200,Product_200,美妝,Brand_B,4607,4043,75x22x61cm,EMP0005,2024-11-26,
P00201,Product_201,食品,Brand_E,565,491,37x91x65cm,EMP0003,2025-01-06,
P00202,Product_202,家居,Brand_J,2766,1953,1636g,EMP0007,2025-03-09,
P00203,Product_203,美妝,Brand_D,3728,2994,4125g,EMP0004,2025-03-10,
P00204,Product_204,3C,Brand_D,3809,2983,2465g,EMP0009,2025-02-10,
P00205,Product_205,家居,Brand_I,3073,2665,4426g,EMP0004,2024-09-24,
P00206,Product_206,家居,Brand_E,917,692,36x62x59cm,EMP0006,2024-11-10,
P00207,Product_207,家居,Brand_F,4007,3397,37x55x19cm,EMP0009,2025-01-25,
P00208,Product_208,3C,Brand_A,3629,3368,73x15x69cm,EMP0003,2024-11-06,
P00209,Product_209,食品,Brand_H,522,470,3764g,EMP0007,2025-01-23,
P00210,Product_210,食品,Brand_E,2373,2207,47x18x57cm,EMP0005,2024-07-16,
P00211,Product_211,食品,Brand_A,952,900,78x20x56cm,EMP0005,2025-01-31,
P00212,Product_212,食品,Brand_G,1754,1232,84x43x21cm,EMP0001,2025-01-09,
P00213,Product_213,圖書,Brand_B,189,161,99x73x37cm,EMP0000,2025-03-31,
P00214,Product_214,家居,Brand_A,2062,1656,693g,EMP0002,2024-08-23,
P00215,Product_215,圖書,Brand_I,2794,2557,11x67x34cm,EMP0008,2024-10-02,
P00216,Product_216,家居,Brand_E,3136,2393,81x13x77cm,EMP0007,2025-04-03,
P00217,Product_217,服飾,Brand_A,3351,3168,93x10x55cm,EMP0005,2025-06-21,
P00218,Product_218,3C,Brand_C,4198,3583,1629g,EMP0007,2025-05-24,
P00219,Product_219,美妝,Brand_D,1156,1038,3289g,EMP0005,2025-06-01,
P00220,Product_220,服飾,Brand_F,690,498,58x45x70cm,EMP0002,2024-09-07,
P00221,Product_221,食品,Brand_C,4273,3187,2337g,EMP0003,2024-11-13,
P00222,Product_222,家居,Brand_F,867,772,63x61x14cm,EMP0002,2024-09-02,
P00223,Product_223,美妝,Brand_I,4876,3440,16x45x43cm,EMP0008,2024-12-28,
P00224,Product_224,圖書,Brand_C,4228,3823,10x66x16cm,EMP0005,2025-01-17,
P00225,Product_225,美妝,Brand_C,2554,1797,3886g,EMP0007,2024-12-06,
P00226,Product_226,美妝,Brand_J,4909,4243,65x68x16cm,EMP0008,2025-06-02,
P00227,Product_227,美妝,Brand_B,577,457,95x23x91cm,EMP0008,2024-07-29,
P00228,Product_228,食品,Brand_G,1585,1352,4091g,EMP0008,2024-08-31,
P00229,Product_229,食品,Brand_I,3227,2821,632g,EMP0002,2024-09-02,
P00230,Product_230,美妝,Brand_E,1815,1426,3138g,EMP0001,2025-02-10,
P00231,Product_231,服飾,Brand_B,4649,3380,15x83x95cm,EMP0008,2025-02-21,
P00232,Product_232,服飾,Brand_H,422,302,3331g,EMP0002,2025-02-05,
P00233,Product_233,家居,Brand_F,2792,2366,66x98x47cm,EMP0007,2024-08-02,
P00234,Product_234,圖書,Brand_G,2995,2487,28x71x11cm,EMP0001,2025-01-13,
P00235,Product_235,美妝,Brand_D,3298,2921,2569g,EMP0009,2024-10-13,
P00236,Product_236,服飾,Brand_G,1353,1119,1017g,EMP0007,2024-10-17,
P00237,Product_237,美妝,Brand_G,1886,1520,62x50x15cm,EMP0004,2025-06-14,
P00238,Product_238,圖書,Brand_B,4234,3385,4874g,EMP0002,2024-08-23,
P00239,Product_239,圖書,Brand_I,1055,746,1223g,EMP0006,2025-04-30,
P00240,Product_240,美妝,Brand_G,4152,3254,51x87x31cm,EMP0007,2025-06-15,
P00241,Product_241,食品,Brand_C,2857,2697,17x99x30cm,EMP0009,2025-03-07,
P00242,Product_242,家居,Brand_G,3835,3522,57x29x19cm,EMP0000,2025-03-04,
P00243,Product_243,服飾,Brand_A,3597,2814,63x92x43cm,EMP0007,2024-12-22,
P00244,Product_244,服飾,Brand_H,1117,946,316g,EMP0005,2024-08-10,
P00245,Product_245,服飾,Brand_I,2887,2633,799g,EMP0002,2025-01-11,
P00246,Product_246,美妝,Brand_C,4352,3526,53x95x88cm,EMP0005,2024-09-19,
P00247,Product_247,圖書,Brand_F,2217,1562,1767g,EMP0004,2025-01-05,
P00248,Product_248,圖書,Brand_H,4836,3475,4927g,EMP0000,2025-04-10,
P00249,Product_249,美妝,Brand_E,2316,1917,2336g,EMP0004,2025-02-24,
P00250,Product_250,3C,Brand_E,800,754,3243g,EMP0003,2024-07-13,
P00251,Product_251,3C,Brand_A,2008,1754,84x35x83cm,EMP0006,2024-11-12,
P00252,Product_252,美妝,Brand_G,4763,3419,89x96x31cm,EMP0001,2025-02-16,
P00253,Product_253,食品,Brand_H,1667,1246,4314g,EMP0003,2025-03-04,2025-03-10
P00254,Product_254,服飾,Brand_J,4354,3887,2647g,EMP0007,2025-03-19,
P00255,Product_255,服飾,Brand_G,4418,4022,4865g,EMP0007,2025-06-08,
P00256,Product_256,美妝,Brand_D,1816,1552,3479g,EMP0005,2025-05-02,
P00257,Product_257,美妝,Brand_J,508,437,17x46x72cm,EMP0003,2024-09-18,
P00258,Product_258,家居,Brand_H,3650,2581,845g,EMP0008,2024-07-31,
P00259,Product_259,食品,Brand_F,1626,1475,10x95x28cm,EMP0004,2024-10-14,
P00260,Product_260,3C,Brand_D,3936,3531,63x93x18cm,EMP0003,2024-09-16,
P00261,Product_261,圖書,Brand_A,2269,1735,77x71x89cm,EMP0005,2024-11-29,
P00262,Product_262,圖書,Brand_G,2478,2173,2562g,EMP0007,2024-12-05,
P00263,Product_263,服飾,Brand_H,3912,2948,3834g,EMP0008,2025-06-01,
P00264,Product_264,3C,Brand_E,1974,1401,90x82x13cm,EMP0006,2025-04-02,
P00265,Product_265,3C,Brand_I,2271,1704,3650g,EMP0001,2024-09-09,
P00266,Product_266,家居,Brand_A,1943,1447,3833g,EMP0003,2024-07-29,
P00267,Product_267,食品,Brand_J,1900,1490,80x40x26cm,EMP0002,2025-03-09,
P00268,Product_268,服飾,Brand_E,2677,2154,4314g,EMP0003,2025-03-14,
P00269,Product_269,家居,Brand_D,4063,3361,60x58x44cm,EMP0008,2025-02-07,
P00270,Product_270,服飾,Brand_F,1873,1534,46x22x40cm,EMP0002,2025-06-14,
P00271,Product_271,食品,Brand_G,2669,2049,1927g,EMP0008,2024-11-23,
P00272,Product_272,圖書,Brand_C,3387,2395,85x54x24cm,EMP0004,2025-06-24,
P00273,Product_273,服飾,Brand_I,1420,1209,2168g,EMP0006,2024-10-18,
P00274,Product_274,美妝,Brand_B,1460,1166,74x75x61cm,EMP0002,2025-03-31,
P00275,Product_275,美妝,Brand_D,4674,3621,4356g,EMP0007,2025-02-01,
P00276,Product_276,美妝,Brand_A,3645,3342,305g,EMP0009,2024-09-24,
P00277,Product_277,圖書,Brand_A,2928,2596,2736g,EMP0003,2025-01-01,
P00278,Product_278,3C,Brand_B,3274,2994,3315g,EMP0001,2024-08-07,
P00279,Product_279,美妝,Brand_E,244,201,59x98x43cm,EMP0007,2025-01-20,
P00280,Product_280,3C,Brand_A,3129,2292,37x29x96cm,EMP0008,2025-07-09,
P00281,Product_281,食品,Brand_H,2597,2270,60x71x40cm,EMP0001,2024-10-06,
P00282,Product_282,3C,Brand_G,2774,2085,366g,EMP0001,2024-07-25,
P00283,Product_283,3C,Brand_C,1861,1508,36x77x77cm,EMP0004,2025-05-05,
P00284,Product_284,3C,Brand_F,499,358,17x95x27cm,EMP0002,2025-03-22,
P00285,Product_285,美妝,Brand_D,1047,949,64x79x26cm,EMP0000,2025-06-16,
P00286,Product_286,家居,Brand_A,4759,3481,921g,EMP0009,2024-09-16,
P00287,Product_287,食品,Brand_E,2103,1947,18x78x66cm,EMP0006,2025-04-16,2025-06-04
P00288,Product_288,美妝,Brand_B,2387,2186,39x54x46cm,EMP0008,2024-08-13,
P00289,Product_289,美妝,Brand_G,358,292,62x78x64cm,EMP0006,2025-01-20,
P00290,Product_290,家居,Brand_J,284,252,14x94x94cm,EMP0001,2025-02-13,
P00291,Product_291,3C,Brand_D,3614,3090,933g,EMP0006,2025-06-30,
P00292,Product_292,食品,Brand_E,2737,2465,2732g,EMP0000,2024-08-08,
P00293,Product_293,家居,Brand_F,2593,2095,41x84x15cm,EMP0007,2024-12-24,
P00294,Product_294,食品,Brand_G,1291,1158,1996g,EMP0003,2025-04-04,
P00295,Product_295,食品,Brand_D,3749,3058,1198g,EMP0008,2024-07-11,
P00296,Product_296,3C,Brand_H,924,864,67x37x36cm,EMP0002,2024-10-24,
P00297,Product_297,3C,Brand_E,1031,847,67x57x43cm,EMP0005,2025-03-07,
P00298,Product_298,美妝,Brand_C,2357,1923,2886g,EMP0006,2024-08-31,
P00299,Product_299,美妝,Brand_D,1503,1347,2870g,EMP0002,2025-03-21,
P00300,Product_300,食品,Brand_H,1313,1188,803g,EMP0002,2025-04-25,
P00301,Product_301,美妝,Brand_F,3262,2735,984g,EMP0002,2024-10-30,
P00302,Product_302,食品,Brand_E,3290,2451,3658g,EMP0002,2024-08-26,
P00303,Product_303,食品,Brand_B,4140,3382,4758g,EMP0008,2025-02-03,
P00304,Product_304,食品,Brand_A,2147,2022,4256g,EMP0001,2025-01-25,
P00305,Product_305,3C,Brand_D,458,407,2116g,EMP0000,2025-01-31,2025-07-07
P00306,Product_306,圖書,Brand_F,1441,1301,3975g,EMP0007,2025-02-19,2025-04-09
P00307,Product_307,服飾,Brand_F,4902,3472,4952g,EMP0009,2025-04-29,
P00308,Product_308,家居,Brand_B,3022,2469,56x16x93cm,EMP0002,2025-06-01,
P00309,Product_309,家居,Brand_J,3578,3083,91x88x37cm,EMP0000,2024-09-08,
P00310,Product_310,3C,Brand_I,136,123,55x51x18cm,EMP0009,2024-11-06,2024-12-16
